first_air_date,genre_ids,id,name,original_language,original_name,overview,popularity,vote_average,vote_count
2021-07-03,"[16, 35]",113137,"Girlfriend, Girlfriend",ja,カノジョも彼女,"Naoya Mukai has loved Saki Saki since grade school, and when she finally accepts his feelings, he's at his happiest. But one day, a cute girl named Nagisa Minase confesses to him! Not wishing to choose only one over another, Naoya chooses to go out with both of them!! What will be of this love triangle that challenges morality itself?",160.545,6.9,44
2013-04-07,"[16, 10765, 10759]",1429,Attack on Titan,ja,進撃の巨人,"Several hundred years ago, humans were nearly exterminated by Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest Titans. Flash forward to the present and the city has not seen a Titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a Colossal Titan that appears out of thin air. As the smaller Titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single Titan and take revenge for all of mankind.",157.89600000000002,8.7,5722
1998-04-18,[16],40424,Initial D,ja,頭文字 D,"Takumi’s job as a tofu delivery boy has turned him into one of the most formidable drivers around. Behind the wheel of his Eight-Six, he’s one with the road—and his life shifts into high gear when the underground street racing world takes notice. Drivers from across the region are lining up for a shot at the new guy. Takumi’s not just focused on winning—he’s out to prove he’s the best.",156.57399999999998,8.0,78
2022-01-09,"[16, 35, 18]",123249,My Dress-Up Darling,ja,その着せ替え人形は恋をする,"Wakana Gojo is a high school boy who wants to become a kashirashi--a master craftsman who makes traditional Japanese Hina dolls. Though he's gung-ho about the craft, he knows nothing about the latest trends, and has a hard time fitting in with his class. The popular kids--especially one girl, Marin Kitagawa--seem like they live in a completely different world. That all changes one day, when she shares an unexpected secret with him, and their completely different worlds collide.",153.662,8.5,533
2023-07-07,"[16, 10765]",213326,The Most Heretical Last Boss Queen: From Villainess to Savior,ja,悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。,"Pride Royal Ivy is only eight years old when she realizes that she's been reincarnated, destined to become the future wicked queen and final boss of an otome game. She's got it all in this new life: razor-sharp wit, boss-tier powers, and influence over the kingdom as crown princess. Determined to sow despair and destruction across the land, she... Wait, what kind of a rotten future is that?! Princess Pride decides to drop the maniacal villainess plan and protect the male love interests instead, cheating her way to saving everyone she can! Will this final boss end up earning the adoration of her kingdom?",153.01,7.7,15
2021-09-30,"[16, 10759]",129600,Baki Hanma,ja,範馬刃牙,"To gain the skills he needs to surpass his powerful father, Baki enters Arizona State Prison to take on the notorious inmate known as Mr. Unchained.",147.80100000000002,8.2,435
2012-01-06,"[16, 10759, 35, 10765]",45950,High School D×D,ja,ハイスクールD×D,"The story follows Issei Hyōdō, a dim-witted, lecherous second-year high school student who is killed by a girl on his first date ever. Issei is reincarnated as a devil, and from that day forward, he serves as an underling of Riasu, a high-level devil who is also the prettiest girl on Issei's campus.",147.734,8.6,1679
2023-04-07,"[16, 10765, 10759]",208493,"I Got a Cheat Skill in Another World and Became Unrivaled in the Real World, Too",ja,異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～,"A door to another world stretches out before a boy who's been brutally bullied all his life. This alternate reality grants him access to all sorts of things, like cheat skills and a portal that lets him travel between his old and new worlds! Can this class loser turn his life around back home...?",146.61,6.9,43
2023-11-23,"[16, 10765, 10759]",211051,My Daemon,ja,ぼくのデーモン,"To save his mother, a kind-hearted boy and his tiny daemon friend set out on a journey across post-apocalyptic Japan as dark forces close in.",146.504,7.9,13
2015-07-07,"[16, 10765, 10759]",64196,Overlord,ja,オーバーロード,"In the year 2138, virtual reality gaming is booming. Yggdrasil, a popular online game is quietly shut down one day. However, one player named Momonga decides to not log out. Momonga is then transformed into the image of a skeleton as ""the most powerful wizard."" The world continues to change, with non-player characters (NPCs) beginning to feel emotion. Having no parents, friends, or place in society, this ordinary young man Momonga then strives to take over the new world the game has become.",144.69,8.5,802
